City,Month,rainfall,temp,Station
Sydney,Jan,105,24.7,Centennial Park : Rain
Sydney,Feb,117.5,24.8,Sydney Harbour: Temp
Sydney,Mar,135.8,24.1,
Sydney,Apr,131.1,22.5,
Sydney,May,123,20,
Sydney,Jun,129.3,17.7,
Sydney,Jul,102.5,17.3,
Sydney,Aug,86,18,
Sydney,Sep,69.2,20,
Sydney,Oct,78.1,21.1,
Sydney,Nov,83.4,22.1,
Sydney,Dec,82.8,23.6,
Melbourne,Jan,43.2,26.7,Melbourne Airport
Melbourne,Feb,38.6,26.6,
Melbourne,Mar,36.9,24.3,
Melbourne,Apr,45.3,20.4,
Melbourne,May,39.7,16.7,
Melbourne,Jun,39.7,13.7,
Melbourne,Jul,35,13.2,
Melbourne,Aug,43.6,14.6,
Melbourne,Sep,45.2,16.9,
Melbourne,Oct,55.9,19.5,
Melbourne,Nov,61.4,22.1,
Melbourne,Dec,51.4,24.7,
Brisbane,Jan,142.7,30.4,
Brisbane,Feb,176.1,30.2,
Brisbane,Mar,149.2,29.1,
Brisbane,Apr,64.2,27.2,
Brisbane,May,69.2,24.5,
Brisbane,Jun,56.4,22,
Brisbane,Jul,31.1,22,
Brisbane,Aug,34.2,23.4,
Brisbane,Sep,28.6,25.7,
Brisbane,Oct,85.8,27.1,
Brisbane,Nov,100.1,28.3,
Brisbane,Dec,140,29.6,
Perth,Jan,16.4,31.4,Perth Metro
Perth,Feb,12.7,31.7,
Perth,Mar,20,29.7,
Perth,Apr,35.1,26,
Perth,May,85.5,22.5,
Perth,Jun,127.1,19.5,
Perth,Jul,147,18.5,
Perth,Aug,125.2,19.1,
Perth,Sep,79.9,20.7,
Perth,Oct,39.5,23.5,
Perth,Nov,24.2,26.7,
Perth,Dec,9.4,29.6,
Adelaide,Jan,21.6,28.7,North Adelaide: Rain
Adelaide,Feb,20.2,28.6,Adelaide (West Terrace / Ngayirdapira): Temp
Adelaide,Mar,24.8,26.1,
Adelaide,Apr,42.7,22.2,
Adelaide,May,63.3,18.6,
Adelaide,Jun,72.9,15.8,
Adelaide,Jul,67.8,15,
Adelaide,Aug,63.2,16.1,
Adelaide,Sep,53.5,18.5,
Adelaide,Oct,44.2,21.4,
Adelaide,Nov,30.1,24.5,
Adelaide,Dec,27.1,26.9,
Hobart,Jan,46.5,21.8,Hobart (Ellerslie Road)
Hobart,Feb,38.8,21.8,
Hobart,Mar,44.1,20.2,
Hobart,Apr,49.4,17.4,
Hobart,May,47.4,14.5,
Hobart,Jun,53.6,12.1,
Hobart,Jul,51.9,11.8,
Hobart,Aug,54,13.2,
Hobart,Sep,53,15.2,
Hobart,Oct,62,17,
Hobart,Nov,53.9,18.8,
Hobart,Dec,56.7,20.4,
Darwin,Jan,431.1,31.8,Darwin Airport
Darwin,Feb,372.2,31.5,
Darwin,Mar,310.7,32,
Darwin,Apr,102.4,32.8,
Darwin,May,20.2,32.1,
Darwin,Jun,1.7,30.8,
Darwin,Jul,1.1,30.7,
Darwin,Aug,4.5,31.5,
Darwin,Sep,16.8,32.7,
Darwin,Oct,70,33.4,
Darwin,Nov,142.9,33.4,
Darwin,Dec,254.9,32.7,
Canberra,Jan,56.8,29.9,Canberra Airport
Canberra,Feb,64.1,28,
Canberra,Mar,62.1,25.3,
Canberra,Apr,42.1,21,
Canberra,May,33.8,16.6,
Canberra,Jun,46.8,13.2,
Canberra,Jul,32.1,12.8,
Canberra,Aug,46.3,14.4,
Canberra,Sep,50.5,18.1,
Canberra,Oct,53.9,21.3,
Canberra,Nov,75.6,24.9,
Canberra,Dec,77.4,27.3,
,,,,
