State,Time,Daytrip Trips, Daytrip Spend ($M),Overnight Trips,Overnight Nights,Overnight Spend ($M),Overnight Intrastate Trips,Overnight Intrastate Nights ,Overnight Intrastate Spend ($M),,,
New South Wales,2019-March,,,"10,058,372","32,822,292","5,300","7,468,019","22,574,731","3,264",,,
New South Wales,2019-Juen,,,"9,308,252","26,617,363","4,715","6,968,482","18,582,059","2,886",,,
New South Wales,2019-Sept,,,"9,421,108","26,496,568","4,958","7,028,436","18,276,547","2,773",,,
New South Wales,2019-Dec,"69,210,000","7,578","10,273,490","29,456,625","5,133","7,639,131","20,431,691","3,010",,,
New South Wales,2020-March,"68,605,000","7,567","9,301,787","31,078,304","4,870","6,934,992","21,462,485","3,030",,,
New South Wales,2020-June,"63,704,000","6,973","4,768,726","14,745,482","1,408","4,103,874","12,214,935",991,,,
New South Wales,2020-Sept,"61,663,000","6,237","7,015,500","21,562,923","3,206","6,282,739","18,693,577","2,762",,,
New South Wales,2020-Dec,"59,158,000","5,984","8,873,119","27,799,550","4,681","7,518,447","22,968,948","3,638",,,
New South Wales,2021-March,"58,973,000","6,133","8,893,157","31,388,624","4,911","7,248,543","24,389,698","3,547",,,
New South Wales,2021-June,"64,646,000","6,995","9,166,014","28,188,875","5,559","7,147,463","20,368,123","3,766",,,
New South Wales,2021-Sept,"60,079,000","6,862","2,803,916","9,409,508","1,044","2,387,385","7,830,801",734,,,
New South Wales,2021-Dec,"60,873,000","7,055","7,306,228","23,069,357","3,538","6,213,032","18,909,566","2,738",,,
New South Wales,2022-March,"59,984,000","7,077","9,083,719","33,089,281","6,337","7,063,679","24,045,702","4,408",,,
New South Wales,2022-June,"60,448,000","7,546","9,428,113","29,026,596","6,635","7,108,724","20,401,117","4,102",,,
New South Wales,2022-Sept,"68,825,000","9,084","9,257,429","27,936,754","7,134","6,937,185","19,324,023","4,203",,,
New South Wales,2022-Dec,"72,011,000","10,323","10,203,996","30,350,818","7,288","7,739,099","21,437,264","4,650",,,
New South Wales,2023-March,"75,169,000","10,983","10,262,309","33,730,059","7,693","7,645,264","23,196,854","4,942",,,
New South Wales,2023-June,"75,831,000","11,072","9,607,094","28,173,170","6,654","7,199,796","19,736,096","4,144",,,
New South Wales,2023-Sept,"76,928,000","11,434","9,358,609","27,780,279","6,478","6,973,275","19,076,094","4,077",,,
New South Wales,2023-Dec,"76,598,000","11,458","10,385,176","30,913,197","7,955","7,723,119","21,464,802","4,846",,,
New South Wales,2024-March,"76,693,000","12,270","10,294,761","34,393,531","7,792","7,606,393","23,614,258","5,033",,,
New South Wales,2024-June,"76,545,000","12,452","9,336,224","27,229,064","6,165","6,911,012","18,947,722","3,912",,,
New South Wales,2024-Sept,"77,038,000","12,103","9,156,842","26,654,928","6,985","6,753,493","18,336,499","4,195",,,
